time,x,y,z
7.29,-1.7125,-2.65845,2
7.3,-1.74428,-2.63771,2
7.31,-1.7758,-2.61659,2
7.32,-1.80707,-2.59509,2
7.33,-1.83808,-2.57322,2
7.34,-1.86883,-2.55098,2
7.35,-1.89931,-2.52837,2
7.36,-1.92951,-2.50539,2
7.37,-1.95943,-2.48206,2
7.38,-1.98908,-2.45837,2
7.39,-2.01843,-2.43432,2
7.4,-2.0475,-2.40993,2
7.41,-2.07627,-2.38518,2
7.42,-2.10474,-2.3601,2
7.43,-2.13291,-2.33467,2
7.44,-2.16077,-2.30891,2
7.45,-2.18832,-2.28281,2
7.46,-2.21556,-2.25639,2
7.47,-2.24248,-2.22964,2
7.48,-2.26907,-2.20257,2
7.49,-2.29534,-2.17519,2
7.5,-2.32127,-2.14749,2
7.51,-2.34687,-2.11948,2
7.52,-2.37214,-2.09116,2
7.53,-2.39706,-2.06255,2
7.54,-2.42164,-2.03363,2
7.55,-2.44587,-2.00443,2
7.56,-2.46974,-1.97493,2
7.57,-2.49326,-1.94516,2
7.58,-2.51643,-1.9151,2
7.59,-2.53923,-1.88476,2
7.6,-2.56166,-1.85416,2
7.61,-2.58372,-1.82329,2
7.62,-2.60542,-1.79215,2
7.63,-2.62673,-1.76076,2
7.64,-2.64767,-1.72911,2
7.65,-2.66823,-1.69721,2
7.66,-2.68841,-1.66507,2
7.67,-2.70819,-1.63269,2
7.68,-2.72759,-1.60008,2
7.69,-2.74659,-1.56723,2
7.7,-2.7652,-1.53416,2
7.71,-2.78341,-1.50087,2
7.72,-2.80122,-1.46736,2
7.73,-2.81863,-1.43364,2
7.74,-2.83563,-1.39972,2
7.75,-2.85222,-1.36559,2
7.76,-2.8684,-1.33126,2
7.77,-2.88417,-1.29675,2
7.78,-2.89952,-1.26205,2
7.79,-2.91446,-1.22716,2
7.8,-2.92898,-1.1921,2
7.81,-2.94307,-1.15687,2
7.82,-2.95674,-1.12147,2
7.83,-2.96998,-1.08591,2
7.84,-2.9828,-1.05019,2
7.85,-2.99519,-1.01432,2
7.86,-3.00714,-0.978308,2
7.87,-3.01867,-0.942153,2
7.88,-3.02975,-0.905862,2
7.89,-3.04041,-0.86944,2
7.9,-3.05062,-0.832894,2
7.91,-3.0604,-0.796227,2
7.92,-3.06973,-0.759446,2
7.93,-3.07862,-0.722555,2
7.94,-3.08707,-0.685561,2
7.95,-3.09508,-0.648468,2
7.96,-3.10263,-0.611281,2
7.97,-3.10975,-0.574006,2
7.98,-3.11641,-0.536649,2
7.99,-3.12262,-0.499214,2
8,-3.12839,-0.461708,2
8.01,-3.13371,-0.424134,2
8.02,-3.13857,-0.3865,2
8.03,-3.14298,-0.348811,2
8.04,-3.14694,-0.311071,2
8.05,-3.15045,-0.273286,2
8.06,-3.1535,-0.235462,2
8.07,-3.1561,-0.197604,2
8.08,-3.15824,-0.159717,2
8.09,-3.15993,-0.121808,2
8.1,-3.16116,-0.0838807,2
8.11,-3.16194,-0.0459416,2
8.12,-3.16227,-0.00799586,2
